name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Cafe Shuffle,Yes,Yes,4.2/5,150,600,Cafes
Szechuan Dragon,Yes,No,4.2/5,1606,540,Dining
Chill Out,No,No,3.8/5,0,90,Dining
Domino's Pizza,Yes,No,3.9/5,540,800,Dining
McDonald's,Yes,No,3.9/5,286,500,Dining
Kaggis,No,No,3.8/5,69,220,Dining
The Vintage Cafe,Yes,No,3.0/5,64,440,Cafes
K27 - The Pub,No,No,3.1/5,28,990,Dining
The Big O Bakes,No,No,4.0/5,65,270,Dining
Srinathji's Cafe,No,No,3.8/5,151,550,Cafes
Foodiction,Yes,No,2.8/5,530,500,other
Kidambi's Kitchen,No,No,3.5/5,52,300,Dining
Namma Brahmin's Idli,Yes,No,3.6/5,37,90,Dining
Roll Magic Fast Food,No,No,3.4/5,0,220,Dining
Empire Restaurant,Yes,No,4.4/5,5352,830,other
Timepass Dinner,Yes,No,3.8/5,264,660,Buffet
Cake Bite,No,No,3.4/5,0,270,Dining
Hide Out Cafe,No,No,3.7/5,28,330,Cafes
Kitchen Garden,Yes,No,3.6/5,239,270,Dining
Jeet Restaurant,No,Yes,4.0/5,838,940,Dining
Woodee Pizza,Yes,No,3.7/5,177,500,Cafes
Thanco's Natural Ice Creams,No,No,3.2/5,8,330,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining
Vaishali Deluxe,No,No,3.8/5,46,770,Dining
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,360,Cafes
Swaada Healthy Kitchen,No,No,3.3/5,0,320,Dining
Hotel Andhra Speices,No,No,2.9/5,0,280,Dining
Katriguppe Donne Biryani,No,No,3.2/5,4,270,Dining
Chickpet Donne Biryani House,No,No,3.7/5,23,250,Dining
Cafe Coffee Day,No,No,3.6/5,29,810,Cafes
Darbar,No,No,3.0/5,90,720,Dining
Cafe Vivacity,Yes,No,3.8/5,90,650,Cafes
Sugar Rush,No,No,3.8/5,38,300,Dining
Sunsadm,No,No,3.7/5,0,360,Dining
Cake of the Day,No,No,3.7/5,71,140,Dining
Petoo,No,No,3.7/5,23,500,Dining
XO Belgian Waffle,Yes,No,3.7/5,17,400,Dining
Cafe Coffee Day,No,No,3.6/5,28,900,Cafes
Mohitesh Hut Roll,No,No,3.3/5,0,140,Dining
Vijayalakshmi,Yes,No,3.9/5,42,180,Dining
Caf-Eleven,No,No,4.0/5,458,400,Cafes
Shree Cool Point,Yes,No,4.1/5,26,150,Dining
Wamama,Yes,Yes,4.2/5,336,720,other
Upahar Sagar,No,No,3.8/5,36,320,Dining
Ovenstory Pizza,Yes,No,3.9/5,167,830,Dining
Biryanis And More,Yes,No,4.0/5,653,750,Dining
New Mangalore Lunch Home,No,No,3.3/5,7,180,Dining
Thanco's Natural Ice Creams,No,No,3.2/5,9,300,Dining
Kidambi's Kitchen,No,No,3.5/5,54,330,Dining
Sugar Rush,No,No,3.8/5,39,300,Dining
Coffee Bytes,No,No,3.1/5,6,100,Dining
Sunsadm,No,No,3.7/5,0,400,Dining
Recipe,Yes,No,4.0/5,843,400,Dining
My Tea House,Yes,No,3.6/5,56,600,Cafes
The Vintage Cafe,Yes,No,3.0/5,68,360,Cafes
Om Sri Vinayaka Chats,No,No,3.6/5,0,500,Dining
CAFE NOVA,No,No,3.2/5,10,660,Cafes
Chatar Patar,No,No,3.7/5,69,300,Dining
Penthouse Cafe,Yes,No,4.0/5,320,630,other
Sea Green Cafe,No,No,3.3/5,4,550,Cafes
Chaatimes,Yes,No,3.8/5,124,200,Dining
Chatar Patar,No,No,3.7/5,71,330,Dining
Kulfi & More,No,No,3.4/5,0,150,Dining
Chickpet Donne Biryani House,No,No,3.7/5,20,280,Dining
Jalsa,Yes,Yes,4.1/5,799,720,Buffet
Peppy Peppers,No,No,4.2/5,244,800,other
Cafe Shuffle,Yes,Yes,4.2/5,141,660,Cafes
Banashankari Nati Style,No,No,2.9/5,0,350,Dining
Wood Stove,No,No,3.4/5,0,150,Dining
San Churro Cafe,Yes,No,3.8/5,946,800,Cafes
Kulfi & More,No,No,3.4/5,0,150,Dining
Wamama,Yes,Yes,4.2/5,354,800,other
Cake Bite,No,No,3.4/5,0,300,Dining
Nandhini Deluxe,No,No,2.6/5,307,540,Dining
Rolls On Wheels,No,No,3.6/5,298,270,Dining
The Coffee Shack,Yes,Yes,4.2/5,167,550,Cafes
Kitchen Garden,Yes,No,3.6/5,244,300,Dining
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,9,720,Buffet
Onesta,Yes,Yes,4.6/5,2448,660,Cafes
Dessert Rose,No,No,3.5/5,7,450,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,300,Dining
CAFE NOVA,No,No,3.2/5,10,540,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,66,720,Dining
McDonald's,Yes,No,3.9/5,309,450,Dining
Wood Stove,No,No,3.4/5,0,140,Dining
Roll Magic Fast Food,No,No,3.4/5,0,220,Dining
Ruchi Maayaka,No,No,3.3/5,9,110,Dining
Penthouse Cafe,Yes,No,4.0/5,332,630,other
Annapooraneshwari Mess,No,No,3.7/5,0,220,Dining
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,200,Dining
Kolbeh,No,No,3.7/5,23,500,Dining
Petoo,No,No,3.7/5,21,450,Dining
XO Belgian Waffle,Yes,No,3.7/5,16,440,Dining
Thanco's Natural Ice Creams,No,No,3.2/5,10,270,Dining
Gawdaru Mane Beriyani,No,No,3.3/5,0,300,Dining
The Big O Bakes,No,No,4.0/5,64,300,Dining
Onesta,Yes,Yes,4.6/5,2744,600,Cafes
Banashankari Donne Biriyani,Yes,No,3.8/5,106,270,Dining
Coffee Bytes,No,No,3.1/5,6,90,Dining
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,400,Cafes
Kulfi & More,No,No,3.4/5,0,140,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8/5,139,450,Dining
Nandhini Deluxe,No,No,2.6/5,270,660,Dining
Peppy Peppers,No,No,4.2/5,249,880,other
Kidambi's Kitchen,No,No,3.5/5,56,270,Dining
Aramane Donne Biriyani,No,No,2.9/5,0,140,Dining
Empire Restaurant,Yes,No,4.4/5,4884,750,other
Coffee Shopee,No,No,3.4/5,0,280,Dining
Chatar Patar,No,No,3.7/5,60,300,Dining
Jalsa,Yes,Yes,4.1/5,708,720,Buffet
Peppy Peppers,No,No,4.2/5,260,800,other
Addhuri Udupi Bhojana,No,No,3.7/5,94,270,Buffet
Devanna Dum Biriyani Centre,Yes,No,3.6/5,31,300,Dining
Kotian Karavali Restaurant,No,No,3.5/5,11,300,Dining
Coffee Tindi,Yes,No,3.8/5,69,220,Cafes
Atithi Point Ande Ka Funda,No,No,3.1/5,27,160,Dining
Hotboxit,No,No,3.8/5,33,360,Dining
Mane Thindi,No,No,3.7/5,124,220,Dining
Kirthi's Biryani,Yes,No,3.8/5,144,700,Cafes
Ruchi Maayaka,No,No,3.3/5,8,100,Dining
Szechuan Dragon,Yes,No,4.2/5,1537,660,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,150,Dining
Coffee Shopee,No,No,3.4/5,0,220,Dining
Spicy Tandoor,No,No,4.1/5,0,150,Dining
Corner House Ice Cream,No,No,4.3/5,359,440,Dining
Aarush's Food Plaza,No,No,3.4/5,0,200,Dining
Melting Melodies,No,No,3.3/5,0,110,Dining
Polar Bear,Yes,No,3.8/5,75,400,Dining
Kaumudis Juoice,No,No,3.3/5,0,150,Dining
Cafe Shuffle,Yes,Yes,4.2/5,152,600,Cafes
Nandhini Deluxe,No,No,2.6/5,292,540,Dining
Hotboxit,No,No,3.8/5,37,360,Dining
Kannadigas Karavali,No,No,3.4/5,0,280,Dining
Anna Kuteera,Yes,No,4.0/5,719,450,Dining
Faasos,Yes,No,4.2/5,419,550,other
Recipe,Yes,No,4.0/5,868,450,Dining
Jeet Restaurant,No,Yes,4.0/5,850,760,Dining
Hotboxit,No,No,3.8/5,36,400,Dining
Rolls On Wheels,No,No,3.6/5,278,270,Dining
Krishna Sagar,No,No,3.5/5,31,220,Dining
Just Bake,No,No,3.4/5,9,440,Dining
Beijing Bites,Yes,No,3.7/5,732,850,Dining
Catch-up-ino,Yes,No,3.9/5,133,800,Cafes
New Mangalore Lunch Home,No,No,3.3/5,6,220,Dining
Beijing Bites,Yes,No,3.7/5,679,850,Dining
Beijing Bites,Yes,No,3.7/5,701,940,Dining
Aramane Donne Biriyani,No,No,2.9/5,0,160,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0,400,Dining
San Churro Cafe,Yes,No,3.8/5,849,800,Buffet
Grand Village,No,No,3.8/5,172,600,Buffet
Ruchi Maayaka,No,No,3.3/5,7,100,Dining
Smacznego,Yes,No,4.2/5,488,500,Cafes
Soms Kitchen & Bakes,No,No,2.9/5,0,360,Dining
Penthouse Cafe,Yes,No,4.0/5,334,700,other
Coffee Tindi,Yes,No,3.8/5,75,200,Cafes
Smacznego,Yes,No,4.2/5,523,500,Cafes
The Big O Bakes,No,No,4.0/5,61,300,Dining
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,568,150,Dining
Roll Magic Fast Food,No,No,3.4/5,0,200,Dining
Chinese Kitchen,Yes,No,3.8/5,57,140,Dining
Szechuan Dragon,Yes,No,4.2/5,1647,600,Dining
Catch-up-ino,Yes,No,3.9/5,134,720,Cafes
Chatar Patar,No,No,3.7/5,59,270,Dining
Wamama,Yes,Yes,4.2/5,353,800,other
Gawdaru Mane Beriyani,No,No,3.3/5,0,300,Dining
Onesta,Yes,Yes,4.6/5,2380,600,Cafes
Chickpet Donne Biryani House,No,No,3.7/5,20,220,Dining
Thanco's Natural Ice Creams,No,No,3.2/5,9,270,Dining
Hari Super Sandwich,No,No,3.2/5,0,220,Dining
Banashankari Nati Style,No,No,2.9/5,0,350,Dining
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,720,Buffet
Wood Stove,No,No,3.4/5,0,150,Dining
Thanco's Natural Ice Creams,No,No,3.2/5,9,270,Dining
Cafe Shuffle,Yes,Yes,4.2/5,136,660,Cafes
Kaumudis Juoice,No,No,3.3/5,0,160,Dining
Szechuan Dragon,Yes,No,4.2/5,1499,540,Dining
Corner House Ice Cream,No,No,4.3/5,341,400,Dining
Thanco's Natural Ice Creams,No,No,3.2/5,9,300,Dining
The Biryani Cafe,No,No,4.1/5,478,270,Dining
Timepass Dinner,Yes,No,3.8/5,271,540,Buffet
Grand Village,No,No,3.8/5,179,540,Buffet
Just Bake,No,No,3.4/5,7,360,Dining
Atithi Point Ande Ka Funda,No,No,3.1/5,29,150,Dining
Krishna Sagar,No,No,3.5/5,31,180,Dining
Caf-Eleven,No,No,4.0/5,465,500,Cafes
Floured-Baked With Love,No,No,3.8 /5,45,400,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,200,Dining
Fast And Fresh,Yes,No,2.8/5,85,360,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6/5,30,270,Dining
Kidambi's Kitchen,No,No,3.5/5,55,330,Dining
Ayda Persian Kitchen,No,No,3.7/5,35,950,Dining
Sunsadm,No,No,3.7/5,0,360,Dining
K27 - The Pub,No,No,3.1/5,30,900,Dining
Biryanis And More,Yes,No,4.0/5,618,750,Dining
Spice 9,No,No,3.4/5,8,330,Dining
Srinathji's Cafe,No,No,3.8/5,155,500,Cafes
Jeet Restaurant,No,Yes,4.0/5,754,760,Dining
Anna Kuteera,Yes,No,4.0/5,712,450,Dining
Me And My Cake,No,No,3.7/5,0,450,Dining
Chinese Kitchen,Yes,No,3.8/5,58,160,Dining
Kulfi & More,No,No,3.4/5,0,160,Dining
Penthouse Cafe,Yes,No,4.0/5,324,700,other
Upahar Sagar,No,No,3.8/5,38,320,Dining
Fast And Fresh,Yes,No,2.8/5,91,400,Dining
Behrouz Biryani,Yes,No,3.9/5,246,720,Dining
The Good Bowl,Yes,No,3.6/5,6,550,Dining
Kotian Karavali Restaurant,No,No,3.5/5,10,330,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,160,Dining
Corner House Ice Cream,No,No,4.3/5,378,400,Dining
Faasos,Yes,No,4.2/5,378,500,other
Corner House Ice Cream,No,No,4.3/5,332,400,Dining
The Big O Bakes,No,No,4.0/5,72,330,Dining
Hari Super Sandwich,No,No,3.2/5,0,200,Dining
Shree Cool Point,Yes,No,4.1/5,26,140,Dining
Penthouse Cafe,Yes,No,4.0/5,353,630,other
Vi Ra's Bar and Restaurant,No,No,3.3/5,56,720,Dining
Hotboxit,No,No,3.8/5,34,440,Dining
San Churro Cafe,Yes,No,3.8/5,984,880,Cafes
Cakes & Slices,No,No,3.5/5,14,300,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,140,Dining
Hari Super Sandwich,No,No,3.2/5,0,220,Dining
My Tea House,Yes,No,3.6/5,65,660,Cafes
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,270,Dining
Roving Feast,No,No,4.0/5,971,400,Dining
Vijayalakshmi,Yes,No,3.9/5,47,200,Dining
Darbar,No,No,3.0/5,98,800,Dining
Srinathji's Cafe,No,No,3.8/5,147,500,Cafes
CAFE NOVA,No,No,3.2/5,11,540,Cafes
Roving Feast,No,No,4.0/5,1036,500,Dining
Chickpet Donne Biryani House,No,No,3.7/5,22,250,Dining
Chatar Patar,No,No,3.7/5,69,270,Dining
Foodiction,Yes,No,2.8/5,489,500,other
Aarush's Food Plaza,No,No,3.4/5,0,180,Dining
XO Belgian Waffle,Yes,No,3.7/5,16,400,Dining
Parjanya Chat Zone,No,No,3.3/5,17,200,Dining
Kitchen Garden,Yes,No,3.6/5,247,270,Dining
Darbar,No,No,3.0/5,99,880,Dining
Melting Melodies,No,No,3.3/5,0,100,Dining
The Coffee Shack,Yes,Yes,4.2/5,148,450,Cafes
Kadalu Sea Food Restaurant,Yes,No,3.8/5,142,500,Dining
Om Sri Vinayaka Chats,No,No,3.6/5,0,550,Dining
Domino's Pizza,Yes,No,3.9/5,586,720,Dining
Goa 0 Km,Yes,Yes,3.6/5,155,720,Dining
Coffee Tindi,Yes,No,3.8/5,74,200,Cafes
Coffee Bytes,No,No,3.1/5,6,100,Dining
Kirthi's Biryani,Yes,No,3.8/5,135,630,Cafes
Swathi Cool Point,No,No,4.1/5,0,200,Dining
Banashankari Nati Style,No,No,2.9/5,0,390,Dining
Floured-Baked With Love,No,No,3.8/5,42,400,Dining
Wood Stove,No,No,3.4/5,0,160,Dining
Domino's Pizza,Yes,No,3.9/5,592,800,Dining
Tasty Bytes,Yes,No,3.1/5,237,270,Dining
Atithi Point Ande Ka Funda,No,No,3.1/5,26,150,Dining
Onesta,Yes,Yes,4.6/5,2791,540,other
Anna Kuteera,Yes,No,4.0/5,758,400,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining
New Indraprasta,No,No,3.3/5,0,140,Dining
The Vintage Cafe,Yes,No,3.0/5,59,400,Cafes
Me And My Cake,No,No,3.7/5,0,500,Dining
New Indraprasta,No,No,3.3/5,0,150,Dining
Ayda Persian Kitchen,No,No,3.7/5,38,860,Dining
Roving Feast,No,No,4.0/5,944,400,Dining
Chaatimes,Yes,No,3.8/5,131,180,Dining
Coffee Tindi,Yes,No,3.8/5,72,220,Cafes
Roll Magic Fast Food,No,No,3.4/5,0,180,Dining
Jalsa,Yes,Yes,4.1/5,847,720,Buffet
Hari Super Sandwich,No,No,3.2/5,0,220,Dining
Timepass Dinner,Yes,No,3.8/5,290,600,Buffet
Melting Melodies,No,No,3.3/5,0,110,Dining
Empire Restaurant,Yes,No,4.4/5,4636,680,other
The Biryani Cafe,No,No,4.1/5,569,270,Dining
Vijayalakshmi,Yes,No,3.9/5,42,220,Dining
Sugar Rush,No,No,3.8/5,42,270,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining
Behrouz Biryani,Yes,No,3.9/5,236,720,Dining
New Mangalore Lunch Home,No,No,3.3/5,7,220,Dining
Floured-Baked With Love,No,No,3.8/5,41,440,Dining
New Indraprasta,No,No,3.3/5,0,150,Dining
Just Bake,No,No,3.4/5,8,400,Dining
Wood Stove,No,No,3.4/5,0,140,Dining
Amma - Manae,No,No,3.1/5,0,400,Dining
Szechuan Dragon,Yes,No,4.2/5,1625,600,Dining
Aramane Donne Biriyani,No,No,2.9/5,0,160,Dining
Roll Magic Fast Food,No,No,3.4/5,0,220,Dining
Atithi Point Ande Ka Funda,No,No,3.1/5,31,160,Dining
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,18,150,Dining
Spice 9,No,No,3.4/5,9,270,Dining
Sweet Truth,Yes,No,3.9/5,32,550,Dining
Shree Cool Point,Yes,No,4.1/5,29,150,Dining
Swathi Cool Point,No,No,4.1/5,0,220,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,160,Dining
Cake of the Day,No,No,3.7/5,82,150,Dining
Addhuri Udupi Bhojana,No,No,3.7/5,85,300,Buffet
CAFE NOVA,No,No,3.2/5,10,660,Cafes
Chaatimes,Yes,No,3.8/5,126,180,Dining
Aramane Donne Biriyani,No,No,2.9/5,0,140,Dining
Havyaka Mess,No,No,3.9/5,28,330,Dining
San Churro Cafe,Yes,No,3.8/5,955,720,Buffet
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining
Rolls On Wheels,No,No,3.6/5,271,300,Dining
Rolls On Wheels,No,No,3.6/5,304,270,Dining
Anna Kuteera,Yes,No,4.0/5,792,500,Dining
The Vintage Cafe,Yes,No,3.0/5,62,360,Cafes
The Good Bowl,Yes,No,3.6/5,6,450,Dining
Swathi Cool Point,No,No,4.1/5,0,180,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,90,Dining
Burger King,Yes,No,3.2/5,76,600,Dining
Havyaka Mess,No,No,3.9/5,27,270,Dining
Cafe Coffee Day,No,No,3.6/5,30,900,Cafes
Darkolates,No,No,3.3/5,0,220,Dining
Village Café,Yes,No,4.1/5,403,500,Cafes
Goa 0 Km,Yes,Yes,3.6/5,155,800,Dining
Burger King,Yes,No,3.2/5,77,540,Dining
Chatar Patar,No,No,3.7/5,65,330,Dining
FreshMenu,Yes,No,3.9/5,663,400,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0,360,Dining
Parimala Sweets,No,No,3.5/5,14,180,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8/5,158,550,Dining
Parjanya Chat Zone,No,No,3.3/5,16,220,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,160,Dining
Cake Bite,No,No,3.4/5,0,300,Dining
New Indraprasta,No,No,3.3/5,0,160,Dining
The Big O Bakes,No,No,4.0/5,66,300,Dining
Recipe,Yes,No,4.0/5,772,450,Dining
Cafe Vivacity,Yes,No,3.8/5,89,580,Cafes
Polar Bear,Yes,No,3.8/5,77,440,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,220,Dining
Behrouz Biryani,Yes,No,3.9/5,230,650,Dining
Sugar Rush,No,No,3.8/5,40,330,Dining
Dessert Rose,No,No,3.5/5,8,550,Dining
Behrouz Biryani,Yes,No,3.9/5,221,720,Dining
Ovenstory Pizza,Yes,No,3.9/5,184,830,Dining
Sea Green Cafe,No,No,3.3/5,4,500,Cafes
CAFE NOVA,No,No,3.2/5,11,600,Cafes
Swaada Healthy Kitchen,No,No,3.3/5,0,390,Dining
Five Star Chicken,No,No,3.6/5,56,200,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,62,800,Dining
McDonald's,Yes,No,3.9/5,271,550,Dining
Cafe Shuffle,Yes,Yes,4.2/5,148,660,Cafes
Thanishka Nati And Karavali Style,No,No,3.1/5,0,360,Dining
Onesta,Yes,Yes,4.6/5,2422,660,Cafes
Jalsa,Yes,Yes,4.1/5,828,800,Buffet
Sunsadm,No,No,3.7/5,0,400,Dining
Ruchi Maayaka,No,No,3.3/5,9,90,Dining
Hari Super Sandwich,No,No,3.2/5,0,200,Dining
Biryanis And More,Yes,No,4.0/5,573,680,Dining
Sweet Truth,Yes,No,3.9/5,36,450,Dining
Hotel Andhra Speices,No,No,2.9/5,0,250,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining
Cafe Shuffle,Yes,Yes,4.2/5,139,600,Cafes
Behrouz Biryani,Yes,No,3.9/5,218,650,Dining
My Tea House,Yes,No,3.6/5,61,600,Cafes
Grand Village,No,No,3.8/5,166,600,Buffet
Thanishka Nati And Karavali Style,No,No,3.1/5,0,440,Dining
New Mangalore Lunch Home,No,No,3.3/5,7,200,Dining
Kolbeh,No,No,3.7/5,24,500,Dining
Ruchi Maayaka,No,No,3.3/5,8,110,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,160,Dining
Jalsa,Yes,Yes,4.1/5,769,720,Buffet
Kulfi & More,No,No,3.4/5,0,150,Dining
Darbar,No,No,3.0/5,92,880,Dining
Chatar Patar,No,No,3.7/5,65,300,Dining
McDonald's,Yes,No,3.9/5,306,500,Dining
Anna Kuteera,Yes,No,4.0/5,746,500,Dining
Chickpet Donne Biryani House,No,No,3.7/5,22,220,Dining
Hari Super Sandwich,No,No,3.2/5,0,180,Dining
Chickpet Donne Biryani House,No,No,3.7/5,21,250,Dining
Recipe,Yes,No,4.0/5,804,450,Dining
Sweet Truth,Yes,No,3.9/5,35,500,Dining
Tasty Bytes,Yes,No,3.1/5,261,300,Dining
Bengaluru Coffee House,Yes,No,4.1/5,217,300,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining
Kaumudis Juoice,No,No,3.3/5,0,150,Dining
Sea Green Cafe,No,No,3.3/5,4,500,Cafes
New Indraprasta,No,No,3.3/5,0,150,Dining
Sri Murari Family Restaurant,No,No,2.9/5,0,220,Dining
Shree Cool Point,Yes,No,4.1/5,31,160,Dining
Kitchen Garden,Yes,No,3.6/5,267,270,Dining
Katriguppe Donne Biryani,No,No,3.2/5,4,270,Dining
Bengaluru Coffee House,Yes,No,4.1/5,200,330,Dining
Parjanya Chat Zone,No,No,3.3/5,15,200,Dining
FreshMenu,Yes,No,3.9/5,684,450,Dining
Ruchi Maayaka,No,No,3.3/5,8,110,Dining
Just Bake,No,No,3.4/5,8,440,Dining
Chinese Kitchen,Yes,No,3.8/5,59,160,Dining
Sri Murari Family Restaurant,No,No,2.9/5,0,250,Dining
Chinese Kitchen,Yes,No,3.8/5,58,150,Dining
Beijing Bites,Yes,No,3.7/5,684,940,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining
K27 - The Pub,No,No,3.1/5,32,990,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining
Kitchen Garden,Yes,No,3.6/5,233,300,Dining
Chinese Kitchen,Yes,No,3.8/5,54,140,Dining
Cake of the Day,No,No,3.7/5,78,150,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,90,Dining
San Churro Cafe,Yes,No,3.8/5,918,800,Cafes
Rolls On Wheels,No,No,3.6/5,277,330,Dining
Chaatimes,Yes,No,3.8/5,133,200,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0,160,Dining
Frozen Bottle,Yes,No,4.2/5,144,360,Dining
Caf-Eleven,No,No,4.0/5,438,400,Cafes
San Churro Cafe,Yes,No,3.8/5,961,880,Buffet
Corner House Ice Cream,No,No,4.3/5,313,400,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0,440,Dining
Corner House Ice Cream,No,No,4.3/5,345,400,Dining
Domino's Pizza,Yes,No,3.9/5,520,800,Dining
Darbar,No,No,3.0/5,93,880,Dining
New Indraprasta,No,No,3.3/5,0,160,Dining
FreshMenu,Yes,No,3.9/5,670,450,Dining
Sweet Truth,Yes,No,3.9/5,38,550,Dining
Five Star Chicken,No,No,3.6/5,55,180,Dining
Onesta,Yes,Yes,4.6/5,2764,600,Cafes
Grand Village,No,No,3.8/5,182,600,Buffet
Cake of the Day,No,No,3.7/5,83,140,Dining
Ayda Persian Kitchen,No,No,3.7/5,38,1040,Dining
Onesta,Yes,Yes,4.6/5,2627,600,Cafes
Devanna Dum Biriyani Centre,Yes,No,3.6/5,26,270,Dining
Hide Out Cafe,No,No,3.7/5,34,330,Cafes
FreshMenu,Yes,No,3.9/5,663,400,Dining
The Good Bowl,Yes,No,3.6/5,6,550,Dining
Spice Elephant,Yes,No,4.1/5,813,800,Buffet
Roll Magic Fast Food,No,No,3.4/5,0,200,Dining
Aramane Donne Biriyani,No,No,2.9/5,0,160,Dining
Chill Out,No,No,3.8/5,0,110,Dining
Coffee Tindi,Yes,No,3.8/5,71,200,Cafes
New Mangalore Lunch Home,No,No,3.3/5,6,180,Dining
Onesta,Yes,Yes,4.6/5,2624,540,Cafes
Darbar,No,No,3.0/5,102,720,Dining
Atithi Point Ande Ka Funda,No,No,3.1/5,29,140,Dining
Cakes & Slices,No,No,3.5/5,13,300,Dining
Cuppa,No,No,3.3/5,24,600,Cafes
Kaumudis Juoice,No,No,3.3/5,0,140,Dining
Spice Elephant,Yes,No,4.1/5,787,800,Buffet
T3H Cafe,No,No,3.9/5,95,300,Cafes
Jeet Restaurant,No,Yes,4.0/5,844,850,Dining
Cake of the Day,No,No,3.7/5,84,150,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,500,Dining
Addhuri Udupi Bhojana,No,No,3.7/5,89,300,Buffet
Faasos,Yes,No,4.2/5,415,500,other
Kabab Magic,Yes,No,4.1/5,1577,440,Dining
Aramane Donne Biriyani,No,No,2.9/5,0,150,Dining
Ruchi Maayaka,No,No,3.3/5,9,110,Dining
Cake of the Day,No,No,3.7/5,76,150,Dining
Biryanis And More,Yes,No,4.0/5,671,830,Dining
Sunsadm,No,No,3.7/5,0,400,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,59,880,Dining
Timepass Dinner,Yes,No,3.8/5,306,600,Buffet
Domino's Pizza,Yes,No,3.9/5,501,880,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,150,Dining
Rolls On Wheels,No,No,3.6/5,302,270,Dining
Sweet Truth,Yes,No,3.9/5,34,450,Dining
Caf-Eleven,No,No,4.0/5,424,450,Cafes
Darbar,No,No,3.0/5,104,720,Dining
Goa 0 Km,Yes,Yes,3.6/5,170,800,Dining
Ruchi Maayaka,No,No,3.3/5,7,90,Dining
Onesta,Yes,Yes,4.6/5,2553,660,other
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining
FreshMenu,Yes,No,3.9/5,594,500,Dining
Faasos,Yes,No,4.2/5,381,500,other
Amma - Manae,No,No,3.1/5,0,360,Dining
Peppy Peppers,No,No,4.2/5,226,880,other
Aarush's Food Plaza,No,No,3.4/5,0,180,Dining
Jalsa,Yes,Yes,4.1/5,759,720,Buffet
Goa 0 Km,Yes,Yes,3.6/5,172,880,Dining
Chickpet Donne Biryani House,No,No,3.7/5,21,280,Dining
Goa 0 Km,Yes,Yes,3.6/5,167,800,Dining
Darkolates,No,No,3.3/5,0,200,Dining
Catch-up-ino,Yes,No,3.9/5,121,800,Cafes
LSD Cafe,No,No,2.9/5,76,700,other
Kitchen Garden,Yes,No,3.6/5,228,300,Dining
Chickpet Donne Biryani House,No,No,3.7/5,22,280,Dining
Srinathji's Cafe,No,No,3.8/5,135,500,Cafes
Mane Thindi,No,No,3.7/5,121,220,Dining
Kidambi's Kitchen,No,No,3.5/5,52,270,Dining
Upahar Sagar,No,No,3.8/5,40,320,Dining
Wamama,Yes,Yes,4.2/5,327,880,other
Five Star Chicken,No,No,3.6/5,55,200,Dining
Biryanis And More,Yes,No,4.0/5,656,750,Dining
Namma Brahmin's Idli,Yes,No,3.6/5,31,110,Dining
